,document,query
TF,null,RawTF
IDF,NoIDF,NoIDF
Normalization,UsingNormalization,UsingNormalization
Stemming,NoStemming,NoStemming
Query
Query,Precision,Recall,Non-Interpolated Average Precision
1,0.05,0.3333333333333333,0.1111111111111111
2,0.03389830508474576,1.0,0.5714285714285714
3,0.0851063829787234,1.0,0.6666666666666666
4,0.018518518518518517,0.5,0.16666666666666666
5,0.046153846153846156,1.0,1.0
6,0.058823529411764705,0.5,0.041666666666666664
7,0.0547945205479452,1.0,0.13804271708683474
8,0.01639344262295082,1.0,0.03225806451612903
9,0.03125,1.0,0.02986906710310966
10,0.07352941176470588,1.0,0.1349383368569415
11,0.05172413793103448,0.75,0.08854166666666666
12,0.16,0.8,0.5393939393939394
13,0.09523809523809523,1.0,0.12422727187150874
14,0.0,0.0,0.0
15,0.08955223880597014,1.0,0.26542346542346545
16,0.045454545454545456,1.0,0.05780228758169934
17,0.03125,1.0,0.054093567251461985
18,0.15,1.0,0.7435897435897436
19,0.11428571428571428,0.8,0.2382456140350877
20,0.03571428571428571,0.6666666666666666,0.029307568438003223
21,0.1111111111111111,1.0,0.9028571428571428
22,0.10416666666666667,0.8333333333333334,0.11017806267806267
23,0.015625,1.0,0.08333333333333333
24,0.19148936170212766,1.0,0.9365079365079365
25,0.05263157894736842,1.0,0.6862745098039215
26,0.017543859649122806,1.0,0.05555555555555555
27,0.4090909090909091,0.8181818181818182,0.36934131602917153
28,0.05357142857142857,0.75,0.07616930171277997
29,0.0,0.0,0.0
30,0.125,0.6666666666666666,0.11339871192812367
31,0.14814814814814814,0.7272727272727273,0.1207623735048044
32,0.045454545454545456,1.0,0.6428571428571428
33,0.0625,1.0,0.07622755442555221
34,0.08823529411764706,0.5,0.03863750628456511
35,0.14893617021276595,0.875,0.21801470588235294
